Contractor,Company,RoofSize,RoofType,City,State,Date
Robert Hatfield,Ayala-Johnson,15006,TPO,Lake Michele,AK,2024-04-16
Sarah Young,Hill and Sons,18415,TPO,Rhondatown,AS,2024-04-25
Mark Guerra,Kim Ltd,43168,Metal,Brandonstad,RI,2024-07-10
Marcus Foster,Lara-Bennett,14696,Foam,Lake Larryshire,NM,2025-03-11
James Wright,"Watson, Payne and Smith",47721,Asphalt,Snyderchester,SC,2025-03-30
Megan Rivera,Patterson Inc,14446,TPO,South Christineland,IL,2023-05-19
Valerie Huang,Weaver Inc,19901,Asphalt,Jimmymouth,MH,2025-03-05
Kristina Warren,Miller-Jenkins,13264,Metal,Lake Daniel,ND,2024-07-08
Tiffany Johnson,Vasquez Inc,41630,Asphalt,West Christopherport,WA,2023-06-30
Antonio Carter,Gilbert LLC,13156,Metal,New Angel,DC,2024-11-16
Matthew Saunders,Warner-Smith,47571,Foam,Tonyville,MN,2023-12-16
Erika Burnett,"Mccormick, Sullivan and Martin",1695,Foam,North Sarafurt,SC,2024-07-11
Sandra Powell,Fuentes Inc,5225,Metal,West Jean,WI,2025-02-13
Lauren Smith,Martin-Knapp,34600,Asphalt,Graybury,GA,2023-08-01
Jeffrey Lawson,Perez and Sons,40499,Foam,Juanmouth,WY,2024-10-29
Courtney Reynolds,Reid Group,32271,Foam,Fitzpatrickfurt,SD,2023-10-26
Crystal Johnston,"Lester, Blevins and Taylor",8845,Foam,Underwoodfurt,NM,2023-11-15
Kari Phillips,Moody-Tanner,19732,Asphalt,South Julie,DC,2023-11-18
Cindy Dominguez,Miller Inc,37742,TPO,South Cindyton,WA,2023-05-12
Vanessa Perez,"Liu, Gardner and Washington",28694,TPO,Royfort,AZ,2024-05-22
Gabrielle Davis,Hernandez PLC,47474,Asphalt,South Joseph,MN,2025-02-19
Anthony Blevins,"Lewis, Davila and Zimmerman",49256,Foam,Georgehaven,NM,2024-12-30
Rebecca Black,Greene-Klein,23474,Asphalt,Kimborough,PR,2025-03-28
Jill Hunter,"Smith, Nicholson and Potter",29930,Foam,Lisaburgh,KS,2023-06-21
Ronnie Larson,"Anthony, Zamora and Knight",42688,Foam,Port Laura,CO,2024-01-11
Linda Williams,Hughes PLC,30545,Asphalt,Joseberg,TX,2023-04-25
Dawn Wolfe,Sloan Inc,43434,Foam,Deniseview,ID,2023-06-30
Curtis Adams,"Harrell, Melton and Ryan",28486,Asphalt,Port Sarahmouth,HI,2023-07-31
Jasmine Harris,"Lam, Stewart and Diaz",43132,Asphalt,Christineville,GU,2023-07-04
Christian Kelley,Walters-Phillips,2368,Metal,North Jesse,VI,2023-08-19
Anthony Morgan,Finley PLC,37057,Asphalt,West Andrewfurt,AK,2024-06-28
Gary Davis,"Garcia, Henderson and Henry",19704,Foam,Jacquelineberg,SC,2024-02-09
Victoria Medina,Hansen-Phillips,45790,Foam,Potterchester,OR,2024-04-02
Michael Moore,"Logan, Moran and Banks",16326,Metal,Lake Cameron,CO,2024-03-06
Timothy Gordon,Jenkins PLC,13168,Foam,Lisaview,HI,2024-12-09
Terry Huang,"Rosales, Cantu and King",8850,Asphalt,East Laurie,NH,2024-02-04
Stephanie Mclaughlin,Bailey Inc,11870,TPO,East Cynthia,AS,2024-10-02
Anna Blanchard,Martin Inc,45984,Foam,Pachecoview,MO,2024-10-31
Valerie Faulkner,Andrade and Sons,49719,Asphalt,Jacksonmouth,SD,2024-11-21
Mrs. Jennifer Rojas,Brooks-Allen,32806,Asphalt,West Paul,WY,2023-05-08
Calvin Schwartz,Garcia-Gordon,10870,TPO,Port Danaborough,AS,2025-04-12
Terri Barton,"Rubio, Leblanc and Elliott",12806,TPO,South Pamela,FM,2024-06-12
